,REF_DATE,GEO,Sex,Age group,UOM,VALUE
690,2001-01-01,"Edmonton, Alberta",Both sexes,50 to 54 years,Persons,61963.0
691,2001-01-01,"Edmonton, Alberta",Both sexes,55 to 59 years,Persons,44530.0
692,2001-01-01,"Edmonton, Alberta",Both sexes,60 to 64 years,Persons,34825.0
693,2001-01-01,"Edmonton, Alberta",Both sexes,65 to 69 years,Persons,30257.0
694,2001-01-01,"Edmonton, Alberta",Both sexes,70 to 74 years,Persons,26361.0
695,2001-01-01,"Edmonton, Alberta",Both sexes,75 to 79 years,Persons,20251.0
756,2001-01-01,"Vancouver, British Columbia",Both sexes,20 to 24 years,Persons,148107.0
757,2001-01-01,"Vancouver, British Columbia",Both sexes,25 to 29 years,Persons,153763.0
758,2001-01-01,"Vancouver, British Columbia",Both sexes,30 to 34 years,Persons,172163.0
759,2001-01-01,"Vancouver, British Columbia",Both sexes,35 to 39 years,Persons,184911.0
760,2001-01-01,"Vancouver, British Columbia",Both sexes,40 to 44 years,Persons,181262.0
761,2001-01-01,"Vancouver, British Columbia",Both sexes,45 to 49 years,Persons,165061.0
762,2001-01-01,"Vancouver, British Columbia",Both sexes,50 to 54 years,Persons,147087.0
763,2001-01-01,"Vancouver, British Columbia",Both sexes,55 to 59 years,Persons,104218.0
764,2001-01-01,"Vancouver, British Columbia",Both sexes,60 to 64 years,Persons,80530.0
765,2001-01-01,"Vancouver, British Columbia",Both sexes,65 to 69 years,Persons,69451.0
766,2001-01-01,"Vancouver, British Columbia",Both sexes,70 to 74 years,Persons,61822.0
767,2001-01-01,"Vancouver, British Columbia",Both sexes,75 to 79 years,Persons,50874.0
1044,2002-01-01,"Montréal, Quebec",Both sexes,20 to 24 years,Persons,262135.0
1045,2002-01-01,"Montréal, Quebec",Both sexes,25 to 29 years,Persons,261831.0
1046,2002-01-01,"Montréal, Quebec",Both sexes,30 to 34 years,Persons,267811.0
1047,2002-01-01,"Montréal, Quebec",Both sexes,35 to 39 years,Persons,311220.0
1048,2002-01-01,"Montréal, Quebec",Both sexes,40 to 44 years,Persons,319631.0
1049,2002-01-01,"Montréal, Quebec",Both sexes,45 to 49 years,Persons,285727.0
1050,2002-01-01,"Montréal, Quebec",Both sexes,50 to 54 years,Persons,249242.0
1051,2002-01-01,"Montréal, Quebec",Both sexes,55 to 59 years,Persons,211056.0
1052,2002-01-01,"Montréal, Quebec",Both sexes,60 to 64 years,Persons,160682.0
1053,2002-01-01,"Montréal, Quebec",Both sexes,65 to 69 years,Persons,136316.0
1054,2002-01-01,"Montréal, Quebec",Both sexes,70 to 74 years,Persons,124021.0
1055,2002-01-01,"Montréal, Quebec",Both sexes,75 to 79 years,Persons,96407.0
1116,2002-01-01,"Toronto, Ontario",Both sexes,20 to 24 years,Persons,341295.0
1117,2002-01-01,"Toronto, Ontario",Both sexes,25 to 29 years,Persons,372235.0
1118,2002-01-01,"Toronto, Ontario",Both sexes,30 to 34 years,Persons,418895.0
1119,2002-01-01,"Toronto, Ontario",Both sexes,35 to 39 years,Persons,457125.0
1120,2002-01-01,"Toronto, Ontario",Both sexes,40 to 44 years,Persons,435120.0
1121,2002-01-01,"Toronto, Ontario",Both sexes,45 to 49 years,Persons,374362.0
1122,2002-01-01,"Toronto, Ontario",Both sexes,50 to 54 years,Persons,323212.0
1123,2002-01-01,"Toronto, Ontario",Both sexes,55 to 59 years,Persons,252497.0
1124,2002-01-01,"Toronto, Ontario",Both sexes,60 to 64 years,Persons,191202.0
1125,2002-01-01,"Toronto, Ontario",Both sexes,65 to 69 years,Persons,164018.0
1126,2002-01-01,"Toronto, Ontario",Both sexes,70 to 74 years,Persons,144366.0
1127,2002-01-01,"Toronto, Ontario",Both sexes,75 to 79 years,Persons,114694.0
1512,2002-01-01,"Calgary, Alberta",Both sexes,20 to 24 years,Persons,77623.0
1513,2002-01-01,"Calgary, Alberta",Both sexes,25 to 29 years,Persons,83342.0
1514,2002-01-01,"Calgary, Alberta",Both sexes,30 to 34 years,Persons,85150.0
1515,2002-01-01,"Calgary, Alberta",Both sexes,35 to 39 years,Persons,88506.0
1516,2002-01-01,"Calgary, Alberta",Both sexes,40 to 44 years,Persons,94050.0
1517,2002-01-01,"Calgary, Alberta",Both sexes,45 to 49 years,Persons,83982.0
1518,2002-01-01,"Calgary, Alberta",Both sexes,50 to 54 years,Persons,64452.0
1519,2002-01-01,"Calgary, Alberta",Both sexes,55 to 59 years,Persons,46485.0
1520,2002-01-01,"Calgary, Alberta",Both sexes,60 to 64 years,Persons,32141.0
1521,2002-01-01,"Calgary, Alberta",Both sexes,65 to 69 years,Persons,26937.0
1522,2002-01-01,"Calgary, Alberta",Both sexes,70 to 74 years,Persons,23898.0
1523,2002-01-01,"Calgary, Alberta",Both sexes,75 to 79 years,Persons,17842.0
1548,2002-01-01,"Edmonton, Alberta",Both sexes,20 to 24 years,Persons,79314.0
1549,2002-01-01,"Edmonton, Alberta",Both sexes,25 to 29 years,Persons,75022.0
1550,2002-01-01,"Edmonton, Alberta",Both sexes,30 to 34 years,Persons,72618.0
1551,2002-01-01,"Edmonton, Alberta",Both sexes,35 to 39 years,Persons,80147.0
1552,2002-01-01,"Edmonton, Alberta",Both sexes,40 to 44 years,Persons,86739.0
1553,2002-01-01,"Edmonton, Alberta",Both sexes,45 to 49 years,Persons,78316.0
1554,2002-01-01,"Edmonton, Alberta",Both sexes,50 to 54 years,Persons,63748.0
1555,2002-01-01,"Edmonton, Alberta",Both sexes,55 to 59 years,Persons,48628.0
1556,2002-01-01,"Edmonton, Alberta",Both sexes,60 to 64 years,Persons,36197.0
1557,2002-01-01,"Edmonton, Alberta",Both sexes,65 to 69 years,Persons,30618.0
1558,2002-01-01,"Edmonton, Alberta",Both sexes,70 to 74 years,Persons,27058.0
1559,2002-01-01,"Edmonton, Alberta",Both sexes,75 to 79 years,Persons,20621.0
1620,2002-01-01,"Vancouver, British Columbia",Both sexes,20 to 24 years,Persons,152165.0
1621,2002-01-01,"Vancouver, British Columbia",Both sexes,25 to 29 years,Persons,152803.0
1622,2002-01-01,"Vancouver, British Columbia",Both sexes,30 to 34 years,Persons,171059.0
1623,2002-01-01,"Vancouver, British Columbia",Both sexes,35 to 39 years,Persons,182170.0
1624,2002-01-01,"Vancouver, British Columbia",Both sexes,40 to 44 years,Persons,182813.0
1625,2002-01-01,"Vancouver, British Columbia",Both sexes,45 to 49 years,Persons,168692.0
1626,2002-01-01,"Vancouver, British Columbia",Both sexes,50 to 54 years,Persons,149136.0
1627,2002-01-01,"Vancouver, British Columbia",Both sexes,55 to 59 years,Persons,113421.0
1628,2002-01-01,"Vancouver, British Columbia",Both sexes,60 to 64 years,Persons,83459.0
1629,2002-01-01,"Vancouver, British Columbia",Both sexes,65 to 69 years,Persons,70005.0
1630,2002-01-01,"Vancouver, British Columbia",Both sexes,70 to 74 years,Persons,62643.0
1631,2002-01-01,"Vancouver, British Columbia",Both sexes,75 to 79 years,Persons,51175.0
1908,2003-01-01,"Montréal, Quebec",Both sexes,20 to 24 years,Persons,261684.0
1909,2003-01-01,"Montréal, Quebec",Both sexes,25 to 29 years,Persons,267974.0
1910,2003-01-01,"Montréal, Quebec",Both sexes,30 to 34 years,Persons,266096.0
1911,2003-01-01,"Montréal, Quebec",Both sexes,35 to 39 years,Persons,301837.0
1912,2003-01-01,"Montréal, Quebec",Both sexes,40 to 44 years,Persons,322458.0
1913,2003-01-01,"Montréal, Quebec",Both sexes,45 to 49 years,Persons,293595.0
1914,2003-01-01,"Montréal, Quebec",Both sexes,50 to 54 years,Persons,251964.0
1915,2003-01-01,"Montréal, Quebec",Both sexes,55 to 59 years,Persons,218501.0
1916,2003-01-01,"Montréal, Quebec",Both sexes,60 to 64 years,Persons,167638.0
1917,2003-01-01,"Montréal, Quebec",Both sexes,65 to 69 years,Persons,135882.0
1918,2003-01-01,"Montréal, Quebec",Both sexes,70 to 74 years,Persons,125143.0
1919,2003-01-01,"Montréal, Quebec",Both sexes,75 to 79 years,Persons,98179.0
1980,2003-01-01,"Toronto, Ontario",Both sexes,20 to 24 years,Persons,351630.0
1981,2003-01-01,"Toronto, Ontario",Both sexes,25 to 29 years,Persons,372196.0
1982,2003-01-01,"Toronto, Ontario",Both sexes,30 to 34 years,Persons,417248.0
1983,2003-01-01,"Toronto, Ontario",Both sexes,35 to 39 years,Persons,450974.0
1984,2003-01-01,"Toronto, Ontario",Both sexes,40 to 44 years,Persons,449198.0
1985,2003-01-01,"Toronto, Ontario",Both sexes,45 to 49 years,Persons,386730.0
1986,2003-01-01,"Toronto, Ontario",Both sexes,50 to 54 years,Persons,328230.0
1987,2003-01-01,"Toronto, Ontario",Both sexes,55 to 59 years,Persons,268863.0
1988,2003-01-01,"Toronto, Ontario",Both sexes,60 to 64 years,Persons,197930.0
1989,2003-01-01,"Toronto, Ontario",Both sexes,65 to 69 years,Persons,165623.0
1990,2003-01-01,"Toronto, Ontario",Both sexes,70 to 74 years,Persons,146254.0
1991,2003-01-01,"Toronto, Ontario",Both sexes,75 to 79 years,Persons,117472.0
2376,2003-01-01,"Calgary, Alberta",Both sexes,20 to 24 years,Persons,79267.0
2377,2003-01-01,"Calgary, Alberta",Both sexes,25 to 29 years,Persons,84545.0
2378,2003-01-01,"Calgary, Alberta",Both sexes,30 to 34 years,Persons,86913.0
2379,2003-01-01,"Calgary, Alberta",Both sexes,35 to 39 years,Persons,87086.0
2380,2003-01-01,"Calgary, Alberta",Both sexes,40 to 44 years,Persons,95096.0
2381,2003-01-01,"Calgary, Alberta",Both sexes,45 to 49 years,Persons,87171.0
2382,2003-01-01,"Calgary, Alberta",Both sexes,50 to 54 years,Persons,67009.0
2383,2003-01-01,"Calgary, Alberta",Both sexes,55 to 59 years,Persons,50242.0
2384,2003-01-01,"Calgary, Alberta",Both sexes,60 to 64 years,Persons,34141.0
2385,2003-01-01,"Calgary, Alberta",Both sexes,65 to 69 years,Persons,27136.0
2386,2003-01-01,"Calgary, Alberta",Both sexes,70 to 74 years,Persons,24318.0
2387,2003-01-01,"Calgary, Alberta",Both sexes,75 to 79 years,Persons,18640.0
2412,2003-01-01,"Edmonton, Alberta",Both sexes,20 to 24 years,Persons,80835.0
2413,2003-01-01,"Edmonton, Alberta",Both sexes,25 to 29 years,Persons,76998.0
2414,2003-01-01,"Edmonton, Alberta",Both sexes,30 to 34 years,Persons,73240.0
2415,2003-01-01,"Edmonton, Alberta",Both sexes,35 to 39 years,Persons,77609.0
2416,2003-01-01,"Edmonton, Alberta",Both sexes,40 to 44 years,Persons,87724.0
2417,2003-01-01,"Edmonton, Alberta",Both sexes,45 to 49 years,Persons,81463.0
2418,2003-01-01,"Edmonton, Alberta",Both sexes,50 to 54 years,Persons,65728.0
2419,2003-01-01,"Edmonton, Alberta",Both sexes,55 to 59 years,Persons,52141.0
2420,2003-01-01,"Edmonton, Alberta",Both sexes,60 to 64 years,Persons,37815.0
2421,2003-01-01,"Edmonton, Alberta",Both sexes,65 to 69 years,Persons,31067.0
2422,2003-01-01,"Edmonton, Alberta",Both sexes,70 to 74 years,Persons,27420.0
2423,2003-01-01,"Edmonton, Alberta",Both sexes,75 to 79 years,Persons,21312.0
2484,2003-01-01,"Vancouver, British Columbia",Both sexes,20 to 24 years,Persons,155652.0
2485,2003-01-01,"Vancouver, British Columbia",Both sexes,25 to 29 years,Persons,151577.0
2486,2003-01-01,"Vancouver, British Columbia",Both sexes,30 to 34 years,Persons,167677.0
2487,2003-01-01,"Vancouver, British Columbia",Both sexes,35 to 39 years,Persons,177297.0
2488,2003-01-01,"Vancouver, British Columbia",Both sexes,40 to 44 years,Persons,185463.0
2489,2003-01-01,"Vancouver, British Columbia",Both sexes,45 to 49 years,Persons,172450.0
2490,2003-01-01,"Vancouver, British Columbia",Both sexes,50 to 54 years,Persons,150971.0
2491,2003-01-01,"Vancouver, British Columbia",Both sexes,55 to 59 years,Persons,121013.0
2492,2003-01-01,"Vancouver, British Columbia",Both sexes,60 to 64 years,Persons,87431.0
2493,2003-01-01,"Vancouver, British Columbia",Both sexes,65 to 69 years,Persons,70847.0
2494,2003-01-01,"Vancouver, British Columbia",Both sexes,70 to 74 years,Persons,63452.0
2495,2003-01-01,"Vancouver, British Columbia",Both sexes,75 to 79 years,Persons,51630.0
2772,2004-01-01,"Montréal, Quebec",Both sexes,20 to 24 years,Persons,261172.0
2773,2004-01-01,"Montréal, Quebec",Both sexes,25 to 29 years,Persons,274407.0
2774,2004-01-01,"Montréal, Quebec",Both sexes,30 to 34 years,Persons,265676.0
2775,2004-01-01,"Montréal, Quebec",Both sexes,35 to 39 years,Persons,293198.0
2776,2004-01-01,"Montréal, Quebec",Both sexes,40 to 44 years,Persons,324461.0
2777,2004-01-01,"Montréal, Quebec",Both sexes,45 to 49 years,Persons,299670.0
2778,2004-01-01,"Montréal, Quebec",Both sexes,50 to 54 years,Persons,256902.0
2779,2004-01-01,"Montréal, Quebec",Both sexes,55 to 59 years,Persons,224521.0
2780,2004-01-01,"Montréal, Quebec",Both sexes,60 to 64 years,Persons,174948.0
2781,2004-01-01,"Montréal, Quebec",Both sexes,65 to 69 years,Persons,137418.0
2782,2004-01-01,"Montréal, Quebec",Both sexes,70 to 74 years,Persons,125470.0
2783,2004-01-01,"Montréal, Quebec",Both sexes,75 to 79 years,Persons,99548.0
2844,2004-01-01,"Toronto, Ontario",Both sexes,20 to 24 years,Persons,361512.0
2845,2004-01-01,"Toronto, Ontario",Both sexes,25 to 29 years,Persons,374211.0
2846,2004-01-01,"Toronto, Ontario",Both sexes,30 to 34 years,Persons,413753.0
2847,2004-01-01,"Toronto, Ontario",Both sexes,35 to 39 years,Persons,444366.0
2848,2004-01-01,"Toronto, Ontario",Both sexes,40 to 44 years,Persons,463206.0
2849,2004-01-01,"Toronto, Ontario",Both sexes,45 to 49 years,Persons,398773.0
2850,2004-01-01,"Toronto, Ontario",Both sexes,50 to 54 years,Persons,335937.0
2851,2004-01-01,"Toronto, Ontario",Both sexes,55 to 59 years,Persons,283012.0
2852,2004-01-01,"Toronto, Ontario",Both sexes,60 to 64 years,Persons,205062.0
2853,2004-01-01,"Toronto, Ontario",Both sexes,65 to 69 years,Persons,168940.0
2854,2004-01-01,"Toronto, Ontario",Both sexes,70 to 74 years,Persons,148079.0
2855,2004-01-01,"Toronto, Ontario",Both sexes,75 to 79 years,Persons,119011.0
3240,2004-01-01,"Calgary, Alberta",Both sexes,20 to 24 years,Persons,81365.0
3241,2004-01-01,"Calgary, Alberta",Both sexes,25 to 29 years,Persons,86185.0
3242,2004-01-01,"Calgary, Alberta",Both sexes,30 to 34 years,Persons,88100.0
3243,2004-01-01,"Calgary, Alberta",Both sexes,35 to 39 years,Persons,86203.0
3244,2004-01-01,"Calgary, Alberta",Both sexes,40 to 44 years,Persons,95700.0
3245,2004-01-01,"Calgary, Alberta",Both sexes,45 to 49 years,Persons,90226.0
3246,2004-01-01,"Calgary, Alberta",Both sexes,50 to 54 years,Persons,70909.0
3247,2004-01-01,"Calgary, Alberta",Both sexes,55 to 59 years,Persons,53551.0
3248,2004-01-01,"Calgary, Alberta",Both sexes,60 to 64 years,Persons,36107.0
3249,2004-01-01,"Calgary, Alberta",Both sexes,65 to 69 years,Persons,27771.0
3250,2004-01-01,"Calgary, Alberta",Both sexes,70 to 74 years,Persons,24504.0
3251,2004-01-01,"Calgary, Alberta",Both sexes,75 to 79 years,Persons,19431.0
3276,2004-01-01,"Edmonton, Alberta",Both sexes,20 to 24 years,Persons,83022.0
3277,2004-01-01,"Edmonton, Alberta",Both sexes,25 to 29 years,Persons,78844.0
3278,2004-01-01,"Edmonton, Alberta",Both sexes,30 to 34 years,Persons,73700.0
3279,2004-01-01,"Edmonton, Alberta",Both sexes,35 to 39 years,Persons,75651.0
3280,2004-01-01,"Edmonton, Alberta",Both sexes,40 to 44 years,Persons,87967.0
3281,2004-01-01,"Edmonton, Alberta",Both sexes,45 to 49 years,Persons,83713.0
3282,2004-01-01,"Edmonton, Alberta",Both sexes,50 to 54 years,Persons,69076.0
3283,2004-01-01,"Edmonton, Alberta",Both sexes,55 to 59 years,Persons,55295.0
3284,2004-01-01,"Edmonton, Alberta",Both sexes,60 to 64 years,Persons,39581.0
3285,2004-01-01,"Edmonton, Alberta",Both sexes,65 to 69 years,Persons,31535.0
3286,2004-01-01,"Edmonton, Alberta",Both sexes,70 to 74 years,Persons,27732.0
3287,2004-01-01,"Edmonton, Alberta",Both sexes,75 to 79 years,Persons,21937.0
3348,2004-01-01,"Vancouver, British Columbia",Both sexes,20 to 24 years,Persons,158083.0
3349,2004-01-01,"Vancouver, British Columbia",Both sexes,25 to 29 years,Persons,152833.0
3350,2004-01-01,"Vancouver, British Columbia",Both sexes,30 to 34 years,Persons,163063.0
3351,2004-01-01,"Vancouver, British Columbia",Both sexes,35 to 39 years,Persons,173912.0
3352,2004-01-01,"Vancouver, British Columbia",Both sexes,40 to 44 years,Persons,188329.0
3353,2004-01-01,"Vancouver, British Columbia",Both sexes,45 to 49 years,Persons,174704.0
3354,2004-01-01,"Vancouver, British Columbia",Both sexes,50 to 54 years,Persons,153563.0
3355,2004-01-01,"Vancouver, British Columbia",Both sexes,55 to 59 years,Persons,127205.0
3356,2004-01-01,"Vancouver, British Columbia",Both sexes,60 to 64 years,Persons,91855.0
3357,2004-01-01,"Vancouver, British Columbia",Both sexes,65 to 69 years,Persons,72042.0
3358,2004-01-01,"Vancouver, British Columbia",Both sexes,70 to 74 years,Persons,63820.0
3359,2004-01-01,"Vancouver, British Columbia",Both sexes,75 to 79 years,Persons,52135.0
3636,2005-01-01,"Montréal, Quebec",Both sexes,20 to 24 years,Persons,259271.0
3637,2005-01-01,"Montréal, Quebec",Both sexes,25 to 29 years,Persons,278830.0
3638,2005-01-01,"Montréal, Quebec",Both sexes,30 to 34 years,Persons,266485.0
3639,2005-01-01,"Montréal, Quebec",Both sexes,35 to 39 years,Persons,285095.0
3640,2005-01-01,"Montréal, Quebec",Both sexes,40 to 44 years,Persons,325334.0
3641,2005-01-01,"Montréal, Quebec",Both sexes,45 to 49 years,Persons,304490.0
3642,2005-01-01,"Montréal, Quebec",Both sexes,50 to 54 years,Persons,263908.0
3643,2005-01-01,"Montréal, Quebec",Both sexes,55 to 59 years,Persons,229462.0
3644,2005-01-01,"Montréal, Quebec",Both sexes,60 to 64 years,Persons,182432.0
3645,2005-01-01,"Montréal, Quebec",Both sexes,65 to 69 years,Persons,139388.0
3646,2005-01-01,"Montréal, Quebec",Both sexes,70 to 74 years,Persons,125014.0
3647,2005-01-01,"Montréal, Quebec",Both sexes,75 to 79 years,Persons,101646.0
3708,2005-01-01,"Toronto, Ontario",Both sexes,20 to 24 years,Persons,370183.0
3709,2005-01-01,"Toronto, Ontario",Both sexes,25 to 29 years,Persons,377198.0
3710,2005-01-01,"Toronto, Ontario",Both sexes,30 to 34 years,Persons,411013.0
3711,2005-01-01,"Toronto, Ontario",Both sexes,35 to 39 years,Persons,439546.0
3712,2005-01-01,"Toronto, Ontario",Both sexes,40 to 44 years,Persons,472486.0
3713,2005-01-01,"Toronto, Ontario",Both sexes,45 to 49 years,Persons,412121.0
3714,2005-01-01,"Toronto, Ontario",Both sexes,50 to 54 years,Persons,346306.0
3715,2005-01-01,"Toronto, Ontario",Both sexes,55 to 59 years,Persons,295897.0
3716,2005-01-01,"Toronto, Ontario",Both sexes,60 to 64 years,Persons,211338.0
3717,2005-01-01,"Toronto, Ontario",Both sexes,65 to 69 years,Persons,171477.0
3718,2005-01-01,"Toronto, Ontario",Both sexes,70 to 74 years,Persons,148320.0
3719,2005-01-01,"Toronto, Ontario",Both sexes,75 to 79 years,Persons,121744.0
4104,2005-01-01,"Calgary, Alberta",Both sexes,20 to 24 years,Persons,84687.0
4105,2005-01-01,"Calgary, Alberta",Both sexes,25 to 29 years,Persons,89574.0
4106,2005-01-01,"Calgary, Alberta",Both sexes,30 to 34 years,Persons,90634.0
4107,2005-01-01,"Calgary, Alberta",Both sexes,35 to 39 years,Persons,87931.0
4108,2005-01-01,"Calgary, Alberta",Both sexes,40 to 44 years,Persons,96409.0
4109,2005-01-01,"Calgary, Alberta",Both sexes,45 to 49 years,Persons,93079.0
4110,2005-01-01,"Calgary, Alberta",Both sexes,50 to 54 years,Persons,75422.0
4111,2005-01-01,"Calgary, Alberta",Both sexes,55 to 59 years,Persons,57424.0
4112,2005-01-01,"Calgary, Alberta",Both sexes,60 to 64 years,Persons,38220.0
4113,2005-01-01,"Calgary, Alberta",Both sexes,65 to 69 years,Persons,28415.0
4114,2005-01-01,"Calgary, Alberta",Both sexes,70 to 74 years,Persons,24798.0
4115,2005-01-01,"Calgary, Alberta",Both sexes,75 to 79 years,Persons,20319.0
4140,2005-01-01,"Edmonton, Alberta",Both sexes,20 to 24 years,Persons,86815.0
4141,2005-01-01,"Edmonton, Alberta",Both sexes,25 to 29 years,Persons,81775.0
4142,2005-01-01,"Edmonton, Alberta",Both sexes,30 to 34 years,Persons,75142.0
4143,2005-01-01,"Edmonton, Alberta",Both sexes,35 to 39 years,Persons,75459.0
4144,2005-01-01,"Edmonton, Alberta",Both sexes,40 to 44 years,Persons,88192.0
4145,2005-01-01,"Edmonton, Alberta",Both sexes,45 to 49 years,Persons,85895.0
4146,2005-01-01,"Edmonton, Alberta",Both sexes,50 to 54 years,Persons,72825.0
4147,2005-01-01,"Edmonton, Alberta",Both sexes,55 to 59 years,Persons,58713.0
4148,2005-01-01,"Edmonton, Alberta",Both sexes,60 to 64 years,Persons,41424.0
4149,2005-01-01,"Edmonton, Alberta",Both sexes,65 to 69 years,Persons,32439.0
4150,2005-01-01,"Edmonton, Alberta",Both sexes,70 to 74 years,Persons,28011.0
4151,2005-01-01,"Edmonton, Alberta",Both sexes,75 to 79 years,Persons,22703.0
4212,2005-01-01,"Vancouver, British Columbia",Both sexes,20 to 24 years,Persons,161195.0
4213,2005-01-01,"Vancouver, British Columbia",Both sexes,25 to 29 years,Persons,155542.0
4214,2005-01-01,"Vancouver, British Columbia",Both sexes,30 to 34 years,Persons,159688.0
4215,2005-01-01,"Vancouver, British Columbia",Both sexes,35 to 39 years,Persons,173651.0
4216,2005-01-01,"Vancouver, British Columbia",Both sexes,40 to 44 years,Persons,189908.0
4217,2005-01-01,"Vancouver, British Columbia",Both sexes,45 to 49 years,Persons,177376.0
4218,2005-01-01,"Vancouver, British Columbia",Both sexes,50 to 54 years,Persons,157216.0
4219,2005-01-01,"Vancouver, British Columbia",Both sexes,55 to 59 years,Persons,134065.0
4220,2005-01-01,"Vancouver, British Columbia",Both sexes,60 to 64 years,Persons,95205.0
4221,2005-01-01,"Vancouver, British Columbia",Both sexes,65 to 69 years,Persons,73681.0
4222,2005-01-01,"Vancouver, British Columbia",Both sexes,70 to 74 years,Persons,63989.0
4223,2005-01-01,"Vancouver, British Columbia",Both sexes,75 to 79 years,Persons,53053.0
4500,2006-01-01,"Montréal, Quebec",Both sexes,20 to 24 years,Persons,256772.0
4501,2006-01-01,"Montréal, Quebec",Both sexes,25 to 29 years,Persons,283638.0
4502,2006-01-01,"Montréal, Quebec",Both sexes,30 to 34 years,Persons,268172.0
4503,2006-01-01,"Montréal, Quebec",Both sexes,35 to 39 years,Persons,281381.0
4504,2006-01-01,"Montréal, Quebec",Both sexes,40 to 44 years,Persons,320694.0
4505,2006-01-01,"Montréal, Quebec",Both sexes,45 to 49 years,Persons,310687.0
4506,2006-01-01,"Montréal, Quebec",Both sexes,50 to 54 years,Persons,269707.0
4507,2006-01-01,"Montréal, Quebec",Both sexes,55 to 59 years,Persons,233943.0
4508,2006-01-01,"Montréal, Quebec",Both sexes,60 to 64 years,Persons,189760.0
4509,2006-01-01,"Montréal, Quebec",Both sexes,65 to 69 years,Persons,143733.0
4510,2006-01-01,"Montréal, Quebec",Both sexes,70 to 74 years,Persons,124251.0
4511,2006-01-01,"Montréal, Quebec",Both sexes,75 to 79 years,Persons,103717.0
4572,2006-01-01,"Toronto, Ontario",Both sexes,20 to 24 years,Persons,376664.0
4573,2006-01-01,"Toronto, Ontario",Both sexes,25 to 29 years,Persons,387269.0
